cell id,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (MOhm),Latency (ms),Latency @ +20pA current (ms),Max number of APs,Membrane time constant (ms),Rebound (mV),Rebound number of APs,Resting membrane potential (mV),Rheobase (pA),Sag area (mV*s),Sag ratio,Sag time (s),Spike frequency adaptation,Upstroke-to-downstroke ratio,Wildness
20200414_sample_22,2.158287453469863,72.87389785051346,0.9379095164986139,0.9904775334279016,0.21832675748464808,-41.61380231380463,0.5600000000000049,0.0,-9.985394775867462,0.7443003644376638,0.005854369788409432,0.9937888198757788,1.4210667646132653,0.6330005574540651,258.4273713454605,94.64,32.72,42,17.04676830889948,20.487224316945053,8,-58.893701834976675,2.727272727272755,53.54207906365366,1.1200037457853846,0.49576000000000003,0.7083333333333334,1.1851994182353134,0.0
20200410_sample_11,0.7022611426902997,69.51356306672096,0.847232256925712,0.982946442725913,0.14471241232633722,-26.43633261322975,0.7999999999999952,0.0,-6.546616554260254,0.6620076238881827,0.0013567283780049743,2.8069565217391315,1.3700019792615288,0.2270405927918287,87.73796106999114,62.44,40.03999999999999,23,8.357037543327099,0.7048450444242391,0,-57.88357409983874,191.30434782608694,0.0,1.128789753684326,0.0,0.7692307692307693,1.9750202061082807,0.0
20200414_sample_19,0.7942573794160008,80.60687780380249,0.9593119830869394,0.9773070463327782,0.1143598472451669,-27.869336307048798,1.0000000000000009,0.0,-9.89745557308197,0.5156794425087108,0.012305083281498366,1.8581035642232688,1.6054203144845975,0.5051073030052222,58.59605399353636,188.40000000000003,94.08,13,17.15613023535935,2.224362874917823,0,-52.134444545209405,65.0,0.0,1.1991876892987294,0.0,0.4444444444444444,2.9453205164229073,0.0
20200413_sample_22,2.4992342159622876,78.46206799149513,0.9396909304933151,0.9753188068605145,0.2344498858553843,-28.072185814380646,0.8800000000000197,0.0,-3.275156021118164,0.19492868462757507,0.0004911525945966251,1.5369085173501584,1.1248723333110013,0.12226546777668428,51.45040655153848,105.92000000000002,69.88,19,12.879254373293996,0.9326317881350974,0,-55.107022158056495,144.0,0.0,1.1514501125095817,0.0,0.9,2.436522334713077,0.0
20200413_sample_4,7.409537916965141,68.27575340867043,0.910306957502355,0.9407198990426296,0.4317846851685197,-31.82469680905342,0.7599999999999829,0.0,-7.350556552410126,0.14561664190193166,0.0007238316899013932,1.5535714285714284,1.8826881654239376,0.14908886771809388,40.44535107745064,66.96000000000002,56.760000000000005,18,9.349332078775031,0.2927563866414076,0,-63.06882808953524,380.0,0.0,1.1125833958293188,0.0,0.8888888888888888,1.945051733598346,0.0
20200406_sample_13,1.4030958705927583,58.91304090619087,0.9565719699171664,0.9978518693222171,0.17957840271867703,-39.77565094828606,0.43999999999999595,0.0,-19.73293349146843,0.0,0.00010402657849207202,1.1338582677165354,1.0246990626158143,0.12742468071782917,160.28246337175366,12.400000000000007,9.120000000000003,90,5.8140606927032605,0.0,0,-70.46373198777437,167.58620689655174,0.0,1.0334663963187178,0.0,0.78,0.9744111136924423,0.0
20200413_sample_6,1.2126220049080219,82.98511430621147,0.9668985474899758,0.9966730438146163,0.14560886655435903,-33.10000151395798,0.9199999999999764,0.0,-9.821336716413498,0.0,0.0005919258799044713,1.0632258064516125,1.0508616423617285,0.17146317584465934,72.40141655717574,39.720000000000006,19.960000000000004,30,6.959397020894891,0.5819661720100626,0,-62.475247354060414,260.7407407407407,0.0,1.0718884392644021,0.0,0.8125,2.690266553089684,0.0
20200410_sample_22,1.5248610079975622,63.91826644539833,0.8822209095161029,0.9643031646685477,0.1850902881472439,-39.14189338684082,0.5199999999999927,0.0,-10.349016636610031,0.0,0.14885623493090266,1.3908045977011538,1.6375968992248056,2.2220754993009324,193.55275735684808,51.360000000000014,32.40000000000001,20,9.475538536681947,0.6501340249445491,0,-76.04191107153892,62.01834862385322,0.0,1.012727234366337,0.0,0.6666666666666666,1.189986909143282,0.0
20200408_sample_20,0.7787297340896301,60.03166735172272,0.8906591962203904,0.9481486957383587,0.1278077814697683,-36.801788955926895,0.5200000000000204,0.0,-16.371004283428192,0.0,0.0012541567695962023,1.4330708661417324,1.2623125485330688,0.27290083831534606,148.02203117310992,75.88000000000001,32.44,14,12.576273302767078,3.8512807004982363,0,-71.5231321528554,130.0,46.162257989793844,1.2100574813709581,0.46196000000000004,0.0,1.0803671002271582,0.0
20200403_sample_14,2.0541633131082015,86.03634685277939,0.9354587892982925,0.9835758626717308,0.20492450770647191,-52.12443321943283,0.7199999999999984,0.0,2.3775510489940643,0.0,0.008421652092672777,1.4833333333333318,1.2887300331575922,0.6250776383177947,138.69550589472058,134.0,84.56,28,18.96366013963843,0.0,0,-70.04534085392953,100.0,0.0,1.0163636084353431,0.0,0.47368421052631576,1.8222334635788937,0.0
