cell id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20171219_sample_7,0.5638009,0.40361991,0.39276018,1.05158371,2.49954751,1.1520362,1.91040724,5.94570136,4.85520362,1.22533937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171219_sample_8,0.7917836,2.22905595,1.0509345,0.55711471,0.51113632,0.69743835,0.25855377,1.82599869,4.8540037,6.0661611,1.15781931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180102_sample_1,1.71679952,0.71514513,0.53015491,0.55948263,0.58881035,0.69258535,0.78733644,0.85877576,3.57346969,4.69619492,4.10813656,1.17310874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180102_sample_3,0.0,0.0,0.0,0.0,0.50741416,0.6384551,0.62564658,0.54781024,2.43164688,2.47893985,5.80718262,5.3283413,1.63456328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180102_sample_4,0.00714881,0.24941419,0.54410421,0.79669566,1.00957147,0.73473927,1.93891735,1.86584058,2.90480162,6.22979467,3.71897216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180102_sample_5,0.0,0.87050078,0.67488263,0.22887324,0.27386541,0.31298905,1.92683881,7.84233177,6.78501565,1.01036776,0.0743349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180103_sample_2,0.0,0.0,0.0,0.0,0.06914815,0.26702957,0.60688539,0.84154774,0.812123,0.76725026,2.65116963,2.30101515,4.69692511,5.73635427,1.25055171,0.0,0.0,0.0,0.0,0.0
20180103_sample_7,0.06308644,1.12757037,0.83689359,1.18426832,1.14593731,1.54282292,1.87662208,7.26612098,4.44959074,0.50708724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180104_sample_6,0.81648989,2.34940965,0.97858715,0.70242145,0.54032419,0.46227737,0.89053432,2.08324995,2.52951771,4.67480488,3.30998599,0.66239744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180105_sample_4,0.28131369,0.37619859,0.29668237,0.29801878,0.28799572,0.52453977,0.7564064,1.47004778,1.59366543,3.87691691,5.93097457,3.39581036,0.80451706,0.10691257,0.0,0.0,0.0,0.0,0.0,0.0
20180105_sample_5,0.00334882163,0.143162125,0.251998828,0.619532002,1.23069195,1.25999414,5.25513835,7.77512663,2.7711499,0.689857256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180105_sample_6,0.02165485,0.08172959,0.17114317,0.16625336,0.92557019,0.73766197,1.19171527,1.62062101,1.93286997,3.50179875,5.67776187,3.65687541,0.31434459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180108_sample_4,0.31775271,0.12525904,0.34538338,0.45037992,1.15404099,0.94496892,1.44968915,3.18213217,3.73382455,2.73083122,4.85839282,0.70734515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20180108_sample_5,0.0,0.3293827,0.75758021,0.68641002,0.39761198,0.61700438,1.0699056,1.76925565,6.1176955,6.64059054,1.44575479,0.16880863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
